"Education","Institution","Financial","Internet","Adaptivity"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Wifi","Low"
"College","Government","Mid","Wifi","Low"
"School","Government","Mid","Wifi","High"
"School","Non Government","Rich","Wifi","High"
"University","Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"University","Government","Mid","Wifi","Low"
"School","Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Rich","Mobile Data","High"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Low"
"School","Non Government","Rich","Wifi","High"
"School","Non Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Government","Poor","Mobile Data","Low"
"University","Government","Poor","Mobile Data","Moderate"
"University","Non Government","Poor","Mobile Data","High"
"School","Government","Mid","Wifi","Moderate"
"School","Government","Mid","Mobile Data","Low"
"University","Government","Poor","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"University","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Rich","Mobile Data","Moderate"
"School","Government","Mid","Wifi","High"
"College","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Mobile Data","Low"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Wifi","Low"
"School","Government","Rich","Wifi","Moderate"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Rich","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Low"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Wifi","Low"
"University","Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","High"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Government","Poor","Mobile Data","Low"
"College","Non Government","Mid","Wifi","Low"
"School","Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Wifi","Low"
"School","Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Wifi","High"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"School","Government","Rich","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Low"
"College","Government","Poor","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Rich","Wifi","High"
"University","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Moderate"
"University","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"College","Non Government","Mid","Wifi","Low"
"School","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Poor","Wifi","High"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Rich","Wifi","High"
"School","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Poor","Mobile Data","Low"
"College","Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Low"
"College","Government","Mid","Wifi","Moderate"
"School","Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Mobile Data","High"
"University","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Wifi","Low"
"University","Government","Mid","Wifi","Moderate"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Wifi","Low"
"University","Government","Mid","Wifi","Low"
"University","Non Government","Rich","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","High"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Wifi","Low"
"College","Non Government","Mid","Wifi","Low"
"University","Non Government","Poor","Wifi","Low"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Low"
"College","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Rich","Wifi","High"
"University","Non Government","Mid","Wifi","Moderate"
"University","Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Low"
"University","Government","Mid","Mobile Data","Low"
"College","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"School","Government","Rich","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Government","Rich","Wifi","High"
"College","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Mobile Data","Low"
"School","Non Government","Rich","Mobile Data","High"
"School","Government","Mid","Mobile Data","Low"
"School","Government","Rich","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"School","Government","Poor","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","High"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Government","Rich","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Moderate"
"University","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","High"
"School","Non Government","Poor","Mobile Data","Low"
"University","Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","High"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","High"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"School","Government","Mid","Wifi","Low"
"College","Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Government","Poor","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Government","Rich","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Government","Rich","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Low"
"School","Government","Rich","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Wifi","Low"
"College","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","High"
"School","Non Government","Rich","Wifi","High"
"School","Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Rich","Wifi","Moderate"
"School","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Low"
"College","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Poor","Mobile Data","Moderate"
"University","Non Government","Poor","Wifi","High"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"College","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","High"
"College","Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"School","Government","Rich","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"University","Non Government","Poor","Wifi","Moderate"
"School","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Rich","Wifi","High"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Rich","Wifi","High"
"School","Non Government","Mid","Mobile Data","Low"
"University","Government","Mid","Mobile Data","Low"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","High"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Wifi","Low"
"University","Non Government","Mid","Wifi","Low"
"College","Government","Mid","Wifi","Moderate"
"School","Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Wifi","High"
"School","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","High"
"University","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Rich","Wifi","High"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Government","Poor","Mobile Data","Moderate"
"School","Government","Rich","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"University","Government","Mid","Wifi","Low"
"School","Government","Rich","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"School","Government","Mid","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Wifi","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","High"
"University","Government","Mid","Mobile Data","Low"
"University","Government","Poor","Mobile Data","Low"
"University","Non Government","Poor","Wifi","Low"
"School","Non Government","Mid","Wifi","Low"
"College","Government","Mid","Mobile Data","Low"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Low"
"School","Government","Rich","Mobile Data","High"
"University","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Government","Rich","Wifi","Low"
"University","Government","Poor","Mobile Data","Moderate"
"School","Non Government","Poor","Wifi","Low"
"College","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Rich","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Poor","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"University","Government","Mid","Wifi","Low"
"College","Government","Mid","Mobile Data","Low"
"College","Non Government","Mid","Wifi","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Rich","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Mobile Data","High"
"School","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"College","Non Government","Mid","Wifi","Moderate"
"School","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Wifi","High"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","High"
"University","Non Government","Rich","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Rich","Wifi","High"
"School","Non Government","Poor","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"College","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Government","Rich","Wifi","Moderate"
"School","Non Government","Poor","Wifi","Low"
"School","Government","Mid","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"University","Non Government","Rich","Wifi","Moderate"
"College","Government","Mid","Wifi","Low"
"University","Non Government","Rich","Wifi","Moderate"
"School","Non Government","Poor","Wifi","Low"
"University","Government","Poor","Mobile Data","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Rich","Wifi","High"
"School","Government","Mid","Mobile Data","Low"
"University","Government","Mid","Wifi","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","High"
"School","Government","Mid","Wifi","High"
"University","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","High"
"College","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Poor","Mobile Data","Low"
"College","Non Government","Mid","Mobile Data","Low"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Rich","Wifi","Moderate"
"College","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"College","Non Government","Mid","Mobile Data","Low"
"School","Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Rich","Wifi","High"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Rich","Wifi","Low"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Wifi","Moderate"
"School","Non Government","Poor","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Rich","Mobile Data","Moderate"
"School","Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Wifi","High"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Moderate"
"College","Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Rich","Wifi","High"
"School","Non Government","Poor","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Government","Mid","Wifi","Moderate"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"School","Government","Rich","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"School","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Poor","Wifi","Low"
"College","Non Government","Mid","Wifi","Low"
"College","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"University","Government","Mid","Wifi","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Rich","Mobile Data","High"
"School","Government","Mid","Mobile Data","Low"
"College","Non Government","Mid","Mobile Data","Low"
"College","Government","Mid","Wifi","Low"
"College","Government","Mid","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"School","Government","Mid","Wifi","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Moderate"
"University","Government","Rich","Wifi","High"
"University","Government","Mid","Mobile Data","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Government","Mid","Mobile Data","Low"
"University","Non Government","Poor","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"University","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Mid","Wifi","Moderate"
"University","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Moderate"
"College","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Poor","Mobile Data","Moderate"
"University","Government","Rich","Wifi","High"
"University","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"University","Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"University","Government","Rich","Wifi","High"
"School","Government","Mid","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Rich","Wifi","High"
"School","Government","Mid","Mobile Data","Low"
"College","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"School","Non Government","Poor","Mobile Data","Low"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Rich","Wifi","Moderate"
"University","Non Government","Mid","Wifi","Low"
"University","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Wifi","Low"
"University","Non Government","Poor","Wifi","High"
"School","Non Government","Mid","Mobile Data","Low"
"University","Non Government","Poor","Wifi","High"
"College","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Mobile Data","Moderate"
"College","Government","Mid","Mobile Data","Low"
"University","Non Government","Mid","Wifi","Low"
"College","Non Government","Mid","Wifi","Low"
"College","Non Government","Mid","Wifi","Moderate"
"School","Non Government","Mid","Mobile Data","Moderate"
"College","Non Government","Mid","Wifi","Low"
"School","Non Government","Poor","Mobile Data","Moderate"
